,index,경기번호,팀명,결과,No.,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,서브_시도,서브_성공,서브_범실,서브_성공률,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,세트_시도,세트_성공,세트_범실,세트_세트당,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_어시스트,벌칙_벌칙,범실_범실,홈_어웨이,상대팀,팀코드,디그_성공률,세트_성공률,리시브_정확도,블로킹_성공률,총_점수,실점
631,631,316,현대건설,0,121,75,146,64,8,13,0.44,70,30,3,9,0.43,7,1,0,0,0.14,3,1,1,0,0.33,22,12,2,1,0.55,13,6,0,0,0.46,31,14,2,3,0.45,92,6,7,0.07,96,77,19,0,21.33,151,63,4,23.58,94,32,9,162.1,62,5,27,17,2,1.25,5,0,26,0,IBK기업은행,5,0.8,0.42,0.34,0.08,91,101
632,632,317,GS칼텍스,1,154,85,187,74,12,15,0.4,89,32,6,8,0.36,9,5,1,1,0.56,0,0,0,0,,24,10,0,4,0.42,8,2,2,0,0.25,57,25,3,2,0.44,109,3,11,0.03,118,98,20,0,20.65,187,68,2,15.530000000000001,97,40,0,160.20999999999998,60,8,24,17,2,1.8800000000000001,8,0,30,0,한국도로공사,0,0.83,0.36,0.41,0.13,110,106
633,633,317,한국도로공사,0,113,76,161,64,8,12,0.4,96,31,5,7,0.32,3,2,1,0,0.67,3,0,0,0,0.0,23,15,1,2,0.65,9,7,0,0,0.78,27,9,1,3,0.33,107,0,10,0.0,103,84,19,0,17.1,168,61,2,12.200000000000001,98,37,3,131.2,92,12,28,30,1,2.4,8,0,25,1,GS칼텍스,2,0.82,0.36,0.38,0.13,106,110
634,634,318,현대건설,0,128,72,166,63,10,11,0.38,84,27,4,3,0.32,8,7,1,0,0.88,0,0,0,0,,18,7,2,2,0.39,16,7,0,2,0.44,40,15,3,4,0.38,100,2,12,0.02,120,93,26,1,20.119999999999997,175,61,1,16.05,95,32,5,237.8,65,7,31,11,3,1.4,3,0,28,1,흥국생명,5,0.78,0.35,0.34,0.11,101,106
635,635,318,흥국생명,1,137,78,166,63,7,13,0.38,82,31,4,11,0.38,6,4,0,0,0.67,3,0,1,1,0.0,16,3,1,1,0.19,8,2,1,0,0.25,51,23,0,0,0.45,107,5,12,0.05,118,98,20,0,20.85,172,59,2,17.0,88,43,2,175.0,76,10,33,22,2,2.65,7,0,29,0,현대건설,1,0.83,0.34,0.49,0.13,106,101
636,636,319,GS칼텍스,1,159,74,135,60,3,7,0.44,65,27,2,4,0.42,1,1,0,0,1.0,0,0,0,0,,12,6,0,1,0.5,14,3,1,0,0.21,43,23,0,2,0.53,97,1,9,0.01,106,88,18,0,23.0,141,58,2,15.25,62,31,4,221.87,71,13,27,14,0,3.25,12,0,18,0,IBK기업은행,0,0.83,0.41,0.5,0.18,98,70
637,637,319,IBK기업은행,0,103,52,151,45,13,10,0.3,117,35,10,9,0.3,1,0,0,0,0.0,4,0,0,1,0.0,4,0,0,0,0.0,4,3,1,0,0.75,21,7,2,0,0.33,71,4,9,0.06,94,79,15,0,23.0,150,41,3,14.91,88,24,1,180.5,60,3,23,20,2,0.75,2,0,24,1,GS칼텍스,3,0.84,0.27,0.27,0.05,70,98
638,638,320,KGC인삼공사,0,113,45,108,39,8,6,0.36,59,20,6,4,0.34,3,3,0,0,1.0,1,0,0,0,0.0,17,5,2,2,0.29,9,4,0,0,0.44,19,7,0,0,0.37,61,1,6,0.02,78,61,17,0,22.16,111,36,0,13.82,66,28,3,219.2,51,5,14,17,2,1.6600000000000001,3,0,14,0,현대건설,4,0.78,0.32,0.42,0.1,60,75
639,639,320,현대건설,1,121,61,116,50,5,6,0.43,59,26,2,2,0.44,6,2,0,0,0.33,3,2,0,0,0.67,20,10,0,4,0.5,8,2,2,0,0.25,20,8,1,0,0.4,74,3,8,0.04,87,74,13,0,24.669999999999998,118,48,0,16.0,55,16,1,186.85,52,8,20,14,1,2.66,7,0,15,1,KGC인삼공사,5,0.85,0.41,0.29,0.15,75,60
640,640,321,KGC인삼공사,0,121,61,143,51,11,13,0.36,68,21,5,10,0.31,9,5,1,0,0.56,3,1,1,0,0.33,20,8,3,1,0.4,10,4,0,2,0.4,33,12,1,0,0.36,77,2,10,0.03,97,77,20,0,23.08,150,47,2,14.0,88,42,3,248.04,63,8,28,15,0,2.08,7,0,25,0,한국도로공사,4,0.79,0.31,0.48,0.13,76,96
