index,경기번호,경기날짜,팀명,홈_어웨이,결과,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,서브_시도,서브_성공,서브_범실,서브_성공률,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,세트_시도,세트_성공,세트_범실,세트_세트당,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_어시스트,벌칙_벌칙,범실_범실,득점점유율,스타팅멤버,팀코드,디그_성공률,세트_성공률,리시브_정확도,블로킹_성공률,총_점수,실점,상대팀
42,22,2017-11-08,KB손해보험,1,0,78,112,54,9,6,0.48,36,15,2,1,0.42,7,4,0,0,0.57,0,0,0,0,0.0,30,11,3,5,0.37,12,5,1,0,0.42,27,19,3,0,0.7,104,14,17,0.13,54,40,14,0,8.15,113,51,2,11.05,87,39,8,6.5,50,10,9,26,3,2.0,5,0,28,0.9999999999999996,6,2,0.74,0.45,0.45,0.2,110,112,OK저축은행
43,22,2017-11-08,OK저축은행,0,1,81,110,64,10,11,0.58,27,14,2,1,0.52,11,8,1,0,0.73,0,0,0,0,0.0,38,22,3,8,0.58,18,11,2,1,0.61,16,9,2,1,0.56,109,8,18,0.07,51,39,12,0,8.76,108,60,0,12.05,91,35,14,6.02,52,9,9,18,2,1.8,6,0,31,0.9999999999999996,6,4,0.76,0.56,0.38,0.17,112,110,KB손해보험
44,23,2017-11-09,우리카드,1,1,54,84,42,9,8,0.5,34,17,3,2,0.5,1,0,0,0,0.0,0,0,0,0,0.0,22,12,3,2,0.55,10,3,2,3,0.3,17,10,1,1,0.59,75,5,20,0.07,39,33,6,0,11.0,88,40,2,13.32,52,35,0,11.67,42,7,9,17,1,2.3200000000000003,5,0,31,0.9999999999999998,6,6,0.85,0.45,0.67,0.17,78,70,한국전력
45,23,2017-11-09,한국전력,0,0,36,75,27,6,10,0.36,30,9,1,4,0.3,2,0,0,0,0.0,0,0,0,0,0.0,27,14,1,3,0.52,6,1,2,0,0.17,10,3,2,3,0.3,62,0,12,0.0,41,29,12,0,9.66,80,27,0,8.99,52,26,3,8.0,40,9,11,14,1,3.0,7,0,23,1.0,6,5,0.71,0.34,0.5,0.22,70,78,우리카드
46,24,2017-11-10,대한항공,0,0,73,118,56,12,8,0.47,32,12,3,1,0.38,3,1,1,0,0.33,0,0,0,0,0.0,38,20,3,4,0.53,9,4,2,0,0.44,36,19,3,3,0.53,94,7,17,0.07,58,37,20,1,8.55,125,54,1,13.45,85,44,3,9.45,53,10,9,23,1,2.3,7,0,28,1.0,6,0,0.64,0.43,0.52,0.19,100,111,삼성화재
47,24,2017-11-10,삼성화재,1,1,81,116,64,11,5,0.55,48,24,4,1,0.5,6,4,0,0,0.67,0,0,0,0,0.0,42,24,4,3,0.57,15,10,1,1,0.67,5,2,2,0,0.4,110,5,16,0.05,74,56,17,1,11.73,114,60,2,12.000000000000002,81,46,7,8.47,52,12,14,18,1,2.4,10,0,25,0.9999999999999996,6,3,0.76,0.53,0.57,0.23,111,100,대한항공
48,25,2017-11-11,OK저축은행,1,0,55,94,48,11,12,0.51,25,9,5,4,0.36,5,4,1,0,0.8,0,0,0,0,0.0,36,18,3,4,0.5,15,9,1,3,0.6,13,8,1,1,0.62,79,3,16,0.04,44,28,16,0,7.08,92,46,0,12.08,74,43,5,9.58,33,4,11,12,1,1.0,3,0,29,0.9999999999999998,6,4,0.64,0.5,0.58,0.12,83,95,현대캐피탈
49,25,2017-11-11,현대캐피탈,0,1,61,81,45,2,8,0.56,25,11,0,4,0.44,2,1,0,1,0.5,0,0,0,0,0.0,24,15,2,1,0.62,10,6,0,2,0.6,20,12,0,0,0.6,87,5,16,0.06,34,22,12,0,5.58,85,44,0,11.0,58,28,4,6.5,32,11,4,11,2,2.92,9,0,26,0.9999999999999996,5,1,0.65,0.52,0.48,0.34,95,83,OK저축은행
50,26,2017-11-12,KB손해보험,0,1,65,92,47,1,13,0.51,35,16,1,7,0.46,4,2,0,1,0.5,0,0,0,0,0.0,27,13,0,4,0.48,11,7,0,0,0.64,15,9,0,1,0.6,96,7,15,0.07,50,44,6,0,11.42,102,46,2,11.5,67,33,5,7.08,47,11,13,18,1,2.91,8,0,31,0.9999999999999998,5,2,0.88,0.45,0.49,0.23,100,88,우리카드
51,26,2017-11-12,우리카드,1,0,52,90,45,10,7,0.5,44,19,6,4,0.43,0,0,0,0,0.0,0,0,0,0,0.0,18,11,2,2,0.61,4,2,0,0,0.5,24,13,2,1,0.54,68,5,21,0.07,39,30,9,0,7.5,99,43,1,10.75,72,30,5,6.5,33,2,6,17,1,0.5,1,0,30,0.9999999999999996,5,6,0.77,0.43,0.42,0.06,88,100,KB손해보험
